epoch: 145	 loss: -341.30084	 return: -106.2897654674264	 episode_length: 14.66
epoch: 146	 loss: -320.61472	 return: -100.59347848415022	 episode_length: 12.84
epoch: 147	 loss: -323.88837	 return: -104.57159216191282	 episode_length: 14.36
epoch: 148	 loss: -314.8548	 return: -97.78822266146933	 episode_length: 14.16
epoch: 149	 loss: -320.80716	 return: -104.14904451504866	 episode_length: 13.26
epoch: 150	 loss: -324.74606	 return: -104.87816804410865	 episode_length: 14.26
epoch: 151	 loss: -297.5363	 return: -96.05577104605267	 episode_length: 14.34
epoch: 152	 loss: -324.74365	 return: -105.21496549270404	 episode_length: 14.98
epoch: 153	 loss: -320.42172	 return: -104.3825307270911	 episode_length: 13.96
epoch: 154	 loss: -320.42462	 return: -103.98828854003014	 episode_length: 14.3
epoch: 155	 loss: -317.631	 return: -103.43429896397858	 episode_length: 13.38
epoch: 156	 loss: -302.9199	 return: -96.76320339160597	 episode_length: 14.46
epoch: 157	 loss: -321.72064	 return: -103.68991160163895	 episode_length: 14.02
epoch: 158	 loss: -315.68524	 return: -100.42987743022674	 episode_length: 13.9
epoch: 159	 loss: -324.72025	 return: -104.16753197925432	 episode_length: 13.52
epoch: 160	 loss: -325.24698	 return: -104.12730530964915	 episode_length: 13.38
epoch: 161	 loss: -284.09558	 return: -91.60798331878328	 episode_length: 13.46
epoch: 162	 loss: -312.73148	 return: -99.7273248480104	 episode_length: 13.62
epoch: 163	 loss: -322.3402	 return: -104.44375587679465	 episode_length: 14.0
epoch: 164	 loss: -322.72406	 return: -104.57006942726417	 episode_length: 13.96
epoch: 165	 loss: -320.97595	 return: -103.56457341295643	 episode_length: 13.22
epoch: 166	 loss: -325.90588	 return: -105.02026986647607	 episode_length: 14.22
epoch: 167	 loss: -317.77512	 return: -103.92324352362975	 episode_length: 13.04
epoch: 168	 loss: -323.1573	 return: -104.36116641119119	 episode_length: 13.44
epoch: 169	 loss: -317.91644	 return: -103.7335126547442	 episode_length: 13.54
epoch: 170	 loss: -325.2045	 return: -104.00103910148442	 episode_length: 13.52
epoch: 171	 loss: -302.52875	 return: -96.46493175599855	 episode_length: 13.68
epoch: 172	 loss: -281.00558	 return: -91.80002075284092	 episode_length: 13.88
epoch: 173	 loss: -321.01743	 return: -104.24633562784267	 episode_length: 14.16
epoch: 174	 loss: -299.323	 return: -95.61353212083218	 episode_length: 13.7
epoch: 175	 loss: -310.59174	 return: -100.26387255744588	 episode_length: 13.68
epoch: 176	 loss: -321.13455	 return: -104.33152791964253	 episode_length: 13.46
epoch: 177	 loss: -319.57346	 return: -103.84659016104901	 episode_length: 13.28
epoch: 178	 loss: -319.93863	 return: -102.00565114956136	 episode_length: 15.02
epoch: 179	 loss: -295.7767	 return: -96.19360974833306	 episode_length: 13.62
epoch: 180	 loss: -320.50406	 return: -104.51435688136584	 episode_length: 14.16
epoch: 181	 loss: -295.57587	 return: -95.94637044490959	 episode_length: 13.56
epoch: 182	 loss: -306.463	 return: -98.17507364368298	 episode_length: 15.26
epoch: 183	 loss: -325.95343	 return: -104.59753071541596	 episode_length: 13.86
epoch: 184	 loss: -318.24005	 return: -104.15695769500176	 episode_length: 13.8
epoch: 185	 loss: -319.69742	 return: -103.55092599151196	 episode_length: 13.04
epoch: 186	 loss: -317.10336	 return: -103.65800701725186	 episode_length: 13.12
epoch: 187	 loss: -298.6709	 return: -95.9065288454391	 episode_length: 13.62
epoch: 188	 loss: -319.32565	 return: -103.80630229139902	 episode_length: 13.62
epoch: 189	 loss: -307.9746	 return: -100.36932895271602	 episode_length: 13.9
epoch: 190	 loss: -301.34958	 return: -95.27770370083135	 episode_length: 13.26
epoch: 191	 loss: -309.86023	 return: -100.68871835623558	 episode_length: 13.72
epoch: 192	 loss: -305.99677	 return: -96.95877799977553	 episode_length: 13.66
epoch: 193	 loss: -326.01068	 return: -105.097264634656	 episode_length: 14.46
epoch: 194	 loss: -313.30746	 return: -103.32629610428987	 episode_length: 12.76
epoch: 195	 loss: -316.94064	 return: -103.53822364295331	 episode_length: 12.88
epoch: 196	 loss: -308.45367	 return: -100.64197318256824	 episode_length: 14.2
epoch: 197	 loss: -325.33624	 return: -104.41137829503778	 episode_length: 14.1
epoch: 198	 loss: -307.9924	 return: -100.43690766021433	 episode_length: 13.76
epoch: 199	 loss: -324.03845	 return: -104.08036992965681	 episode_length: 13.74
epoch: 200	 loss: -305.0408	 return: -99.3215923530001	 episode_length: 12.58
epoch: 201	 loss: -300.40155	 return: -96.42648289065035	 episode_length: 14.02
epoch: 202	 loss: -319.27036	 return: -103.36366009288325	 episode_length: 12.92
epoch: 203	 loss: -308.14496	 return: -99.78027265854162	 episode_length: 13.1
epoch: 204	 loss: -322.14728	 return: -103.73145848973795	 episode_length: 13.76
epoch: 205	 loss: -319.91852	 return: -104.19836852634353	 episode_length: 14.14
epoch: 206	 loss: -309.50977	 return: -99.88398845791389	 episode_length: 13.36
epoch: 207	 loss: -321.75314	 return: -100.82833472462235	 episode_length: 13.9
epoch: 208	 loss: -310.89575	 return: -100.45121179131081	 episode_length: 14.4
epoch: 209	 loss: -292.68005	 return: -95.98970381794128	 episode_length: 13.54
epoch: 210	 loss: -307.11658	 return: -99.9838001651972	 episode_length: 13.78
epoch: 211	 loss: -311.56625	 return: -99.67863314207968	 episode_length: 13.48
epoch: 212	 loss: -323.33264	 return: -104.27132566636847	 episode_length: 14.08
epoch: 213	 loss: -323.4931	 return: -104.90420402575509	 episode_length: 14.22
epoch: 214	 loss: -307.9391	 return: -98.95593399165	 episode_length: 12.7
epoch: 215	 loss: -314.1146	 return: -103.0235106698886	 episode_length: 12.72
epoch: 216	 loss: -308.0053	 return: -100.8291925443661	 episode_length: 14.16
epoch: 217	 loss: -318.2838	 return: -104.20464082329221	 episode_length: 13.46
epoch: 218	 loss: -325.09244	 return: -104.86502015807012	 episode_length: 13.24
epoch: 219	 loss: -321.37247	 return: -104.10186606036723	 episode_length: 13.24
epoch: 220	 loss: -318.55524	 return: -104.06563143331185	 episode_length: 13.64
epoch: 221	 loss: -316.60907	 return: -103.38649092528675	 episode_length: 12.8
epoch: 222	 loss: -320.0789	 return: -103.60530479753419	 episode_length: 13.98
epoch: 223	 loss: -319.6238	 return: -103.78643469205592	 episode_length: 13.34
epoch: 224	 loss: -301.37982	 return: -99.70333895614397	 episode_length: 13.74
epoch: 225	 loss: -324.9673	 return: -104.21610314501686	 episode_length: 13.64
epoch: 226	 loss: -315.9958	 return: -104.09499234228925	 episode_length: 13.9
epoch: 227	 loss: -308.09406	 return: -99.31286331418082	 episode_length: 13.18
epoch: 228	 loss: -304.34302	 return: -99.2436325548404	 episode_length: 13.84
epoch: 229	 loss: -327.03763	 return: -104.18997157524923	 episode_length: 14.0
epoch: 230	 loss: -316.95636	 return: -103.1486235045256	 episode_length: 12.94
epoch: 231	 loss: -310.1766	 return: -99.90113877563131	 episode_length: 11.9
epoch: 232	 loss: -317.85873	 return: -103.53124946052453	 episode_length: 11.8
epoch: 233	 loss: -304.92072	 return: -96.874361357042	 episode_length: 12.1
epoch: 234	 loss: -308.8063	 return: -100.5543436152716	 episode_length: 14.6
epoch: 235	 loss: -310.2408	 return: -100.3997122047315	 episode_length: 14.26
epoch: 236	 loss: -321.08594	 return: -104.35622791782082	 episode_length: 13.78
epoch: 237	 loss: -315.60266	 return: -103.34191110514357	 episode_length: 14.08
epoch: 238	 loss: -307.14243	 return: -100.00429233584723	 episode_length: 13.86
epoch: 239	 loss: -326.47458	 return: -106.19551091675613	 episode_length: 15.22
epoch: 240	 loss: -303.8177	 return: -99.51962445613488	 episode_length: 13.74
epoch: 241	 loss: -315.50946	 return: -103.9023743071325	 episode_length: 13.26
epoch: 242	 loss: -319.507	 return: -103.67370775799424	 episode_length: 13.8
epoch: 243	 loss: -310.31512	 return: -99.91029655326287	 episode_length: 13.16
epoch: 244	 loss: -311.3355	 return: -100.40009809578461	 episode_length: 13.66
epoch: 245	 loss: -320.55493	 return: -104.14812670724417	 episode_length: 13.9
epoch: 246	 loss: -313.60043	 return: -101.05847803202805	 episode_length: 14.56
epoch: 247	 loss: -298.42908	 return: -95.50680274232329	 episode_length: 13.52
epoch: 248	 loss: -317.14355	 return: -103.40267076371727	 episode_length: 13.4
epoch: 249	 loss: -320.3937	 return: -103.5891813047605	 episode_length: 13.64
